Timestamp;SensorID;AttributeID;Value;
2017-01-01T00:00:10.0100000;Sensor1;NO2;8.78540654652496;
2017-01-01T00:00:10.0100000;Sensor1;SO2;9.78388974306016;
2017-01-01T00:00:10.0100000;Sensor1;PM10;0.0171114013355998;
2017-01-01T00:00:24.5880000;Sensor2;O3;13.3555096255324;
2017-01-01T00:00:24.5880000;Sensor2;NO2;22.1864461494123;
2017-01-01T00:00:24.5880000;Sensor2;SO2;35.9619142104779;
2017-01-01T00:00:24.5880000;Sensor2;PM10;2.69995574033817;
2017-01-01T00:00:54.4850000;Sensor3;O3;5.47809317455115;
2017-01-01T00:00:54.4850000;Sensor3;NO2;51.9134239196713;
2017-01-01T00:00:54.4850000;Sensor3;SO2;18.8209463887522;
2017-01-01T00:00:54.4850000;Sensor3;PM10;8.28157677277488;
2017-01-01T00:00:03.9340000;Sensor4;O3;15.9811820824628;
2017-01-01T00:00:03.9340000;Sensor4;NO2;41.7528025069054;
2017-01-01T00:00:03.9340000;Sensor4;SO2;9.34418972847416;
2017-01-01T00:00:03.9340000;Sensor4;PM10;0.000657319006900833;
2017-01-01T00:01:25.4560000;Sensor5;O3;20.9330504730625;
2017-01-01T00:01:25.4560000;Sensor5;NO2;8.61118249149498;
2017-01-01T00:01:25.4560000;Sensor5;SO2;13.4435812370293;
2017-01-01T00:01:25.4560000;Sensor5;PM10;7.25847777232542;
2017-01-01T00:00:50.3870000;Sensor6;O3;5.0549956443129;
2017-01-01T00:00:50.3870000;Sensor6;NO2;30.2543278501114;
2017-01-01T00:00:50.3870000;Sensor6;SO2;40.5034625202391;
2017-01-01T00:00:50.3870000;Sensor6;PM10;8.61458832968536;
2017-01-01T00:00:56.4830000;Sensor7;O3;14.3289340642035;
2017-01-01T00:00:56.4830000;Sensor7;NO2;42.178576086731;
2017-01-01T00:00:56.4830000;Sensor7;SO2;8.63458053610966;
2017-01-01T00:00:56.4830000;Sensor7;PM10;8.12674415760903;
2017-01-01T00:00:22.5440000;Sensor8;O3;14.9717454698906;
2017-01-01T00:00:22.5440000;Sensor8;NO2;51.7533883693411;
2017-01-01T00:00:22.5440000;Sensor8;SO2;28.6555032971912;
2017-01-01T00:00:22.5440000;Sensor8;PM10;2.98107623430781;
2017-01-01T00:00:38.6790000;Sensor9;O3;12.8873533840952;
2017-01-01T00:00:38.6790000;Sensor9;NO2;3.60308294775616;
2017-01-01T00:00:38.6790000;Sensor9;SO2;12.178317099046;
2017-01-01T00:00:38.6790000;Sensor9;PM10;5.24690965942852;
2017-01-01T00:30:39.0040000;Sensor0;O3;36.7797600526823;
2017-01-01T00:30:39.0040000;Sensor0;NO2;80.2280346451481;
2017-01-01T00:30:39.0040000;Sensor0;SO2;38.151540049253;
2017-01-01T00:30:39.0040000;Sensor0;PM10;1.99603267330184;
2017-01-01T00:30:27.8710000;Sensor1;O3;24.8904346727471;
2017-01-01T00:30:27.8710000;Sensor1;NO2;39.2544517861209;
2017-01-01T00:30:27.8710000;Sensor1;SO2;22.5360681184578;
2017-01-01T00:30:27.8710000;Sensor1;PM10;2.03249244814451;
2017-01-01T00:30:30.9300000;Sensor2;O3;35.7728060028143;
2017-01-01T00:30:30.9300000;Sensor2;NO2;67.3680601070102;
2017-01-01T00:30:30.9300000;Sensor2;SO2;51.6386956182312;
2017-01-01T00:30:30.9300000;Sensor2;PM10;6.4729109182616;
2017-01-01T00:30:07.9070000;Sensor3;O3;30.4811576773413;
2017-01-01T00:30:07.9070000;Sensor3;NO2;75.3217674157356;
2017-01-01T00:30:07.9070000;Sensor3;SO2;55.4534692790985;
2017-01-01T00:30:07.9070000;Sensor3;PM10;13.6141820327653;
2017-01-01T00:30:07.2000000;Sensor4;O3;26.1898797516064;
2017-01-01T00:30:07.2000000;Sensor4;NO2;79.5090204644355;
